PLAYER,TEAM,GP,MIN,PPG,FGM,FGA,FGPc,3PM,3PA,3PPc,FTM,FTA,FTPc,PcFGA2PT,PcFGA3PT,PcPTS2PT,PcPTS2PTMr,PcPTS3PT,PcPTSFBPS,PcPTSFT,PcPTSOFFTO,PcPTSPITP,2FGMPcAST,2FGMPcUAST,3FGMPcAST,3FGMPcUAST,FGMPcAST,FGMPcUAST
Al Horford,BOS,68,32.3,14,5.6,11.8,47.3,1.3,3.6,35.5,1.6,2,80,69.8,30.2,61.6,19.3,27.1,4.3,11.3,10.5,42.2,59,41,97.7,2.3,67.8,32.2
Andre Roberson,OKC,79,30.1,6.6,2.7,5.9,46.4,0.6,2.3,24.5,0.6,1.4,42.3,60.3,39.7,65.1,0.8,25.9,23.4,9,23.6,64.4,76.5,23.5,97.8,2.2,80.9,19.1
Andrew Wiggins,MIN,82,37.2,23.6,8.6,19.1,45.2,1.3,3.5,35.6,5,6.6,76,81.6,18.4,62.7,23.1,16,11.3,21.3,14.1,39.6,41.4,58.6,75.7,24.3,46.4,53.6
Anthony Davis,NOP,75,36.1,28,10.3,20.3,50.5,0.5,1.8,29.9,6.9,8.6,80.2,91.2,8.8,69.6,23.3,5.7,8,24.7,12.3,46.2,64.4,35.6,100,0,66.2,33.8
Avery Bradley,BOS,55,33.4,16.3,6.5,14.1,46.3,2,5,39,1.2,1.7,73.1,64.3,35.7,56.2,20.4,36.2,10.7,7.6,20.5,35.8,61.4,38.6,81.5,18.5,67.4,32.6
Blake Griffin,LAC,61,34,21.6,7.9,15.9,49.3,0.6,1.9,33.6,5.2,6.9,76,88.4,11.6,67,21,8.7,18.2,24.3,15,46,49.9,50.1,97.4,2.6,53.7,46.3
Bradley Beal,WAS,77,34.9,23.1,8.3,17.2,48.2,2.9,7.2,40.4,3.7,4.4,82.5,58.2,41.8,46.5,15.2,37.6,15.1,15.9,14.7,31.4,48.6,51.4,80.7,19.3,59.8,40.2
C J McCollum,POR,80,34.9,23,8.7,18,48,2.3,5.5,42.1,3.4,3.7,91.2,69.5,30.5,55.2,25,30.2,9.7,14.6,12.3,30.2,26,74,74.1,25.9,38.9,61.1
Carmelo Anthony,NYK,74,34.3,22.4,8.1,18.8,43.3,2,5.7,35.9,4.1,4.9,83.3,69.7,30.3,54.4,36.4,27.3,5.1,18.3,11.9,18,31.3,68.7,76.2,23.8,42.5,57.5
Chris Paul,LAC,61,31.5,18.1,6.1,12.9,47.6,2,5,41.1,3.8,4.3,89.2,61.5,38.5,45.3,29.7,33.7,12.8,21,13.2,15.6,12.4,87.6,39.5,60.5,21.4,78.6
